serialid,tnscntry,isocntry,corruption,patronage,public_tender,widespread,abuse,bidding,procurement_national,procurement_local,transparency,connections,favouritism,petty_corruption,bribing,reported,court,fined,sector,employees,age,turnover
1,1,BE,2,3,9,3,3,2,3,3,3,4,3,3,2,2,3,3,5,1,2,1
2,1,BE,1,4,9,3,4,3,3,3,2,4,4,2,2,4,3,3,3,1,4,3
3,1,BE,2,2,9,2,2,2,1,1,2,3,2,3,3,2,2,2,3,1,4,1
4,1,BE,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,5,3,4,1
5,1,BE,4,3,9,2,2,2,2,2,4,1,1,2,2,2,2,2,1,1,3,1
8,1,BE,4,3,9,2,3,3,2,2,2,2,2,2,1,2,2,2,4,1,4,3
10,1,BE,2,2,9,2,2,3,2,2,3,3,3,2,3,3,2,3,3,4,4,1
13,1,BE,4,4,2,3,3,3,4,4,1,4,3,2,2,2,1,1,5,2,3,1
14,1,BE,4,4,2,3,3,4,4,4,2,3,3,2,2,3,2,2,4,3,4,3
15,1,BE,4,4,9,2,2,2,2,2,3,3,3,2,2,3,2,3,2,3,4,2
16,1,BE,3,3,9,3,2,3,2,2,1,3,3,2,1,2,2,2,1,1,4,1
17,1,BE,4,4,9,2,2,2,2,2,4,4,2,2,3,3,2,3,3,3,4,3
18,1,BE,4,3,9,3,3,4,4,3,3,2,3,2,2,2,3,2,2,1,4,2
19,1,BE,3,2,9,3,3,3,3,2,2,2,3,3,3,3,2,2,4,1,4,1
20,1,BE,1,2,9,2,2,2,2,2,2,3,2,3,2,3,3,2,6,1,4,1
21,1,BE,1,1,2,1,2,2,1,1,3,2,2,3,4,3,4,4,3,1,4,2
23,1,BE,4,4,9,3,3,3,3,3,3,2,3,2,2,3,3,3,3,1,3,3
26,1,BE,1,2,9,1,2,4,2,1,3,3,2,3,4,3,3,3,5,2,4,1
27,1,BE,1,1,9,1,2,2,2,2,4,2,2,4,4,3,3,3,3,2,4,1
28,1,BE,4,4,9,1,1,1,1,1,4,4,2,1,1,2,2,2,3,1,2,1
29,1,BE,4,4,2,3,4,3,4,4,2,3,3,2,1,2,1,2,3,1,4,1
30,1,BE,4,1,9,2,4,3,2,2,3,3,2,3,3,2,3,4,5,1,3,3
31,1,BE,1,1,2,2,3,2,2,2,4,3,2,3,4,3,1,1,1,1,4,1
32,1,BE,4,4,9,1,1,2,2,2,3,2,2,4,4,2,3,3,4,1,4,1
33,1,BE,4,3,9,3,3,3,3,3,3,3,2,3,2,2,3,3,3,1,4,1
34,1,BE,4,3,9,3,3,3,3,3,3,3,3,1,2,1,1,1,2,1,4,1
35,1,BE,3,3,2,4,3,3,1,3,2,3,3,2,2,2,2,2,6,3,2,1
37,1,BE,4,4,9,4,4,3,3,3,4,4,2,4,4,2,1,3,3,1,4,2
39,1,BE,3,2,1,3,2,2,3,2,2,2,3,2,2,3,2,3,3,2,2,1
40,1,BE,4,4,9,3,3,3,2,2,4,3,2,2,2,1,4,2,6,1,3,1
41,1,BE,4,4,9,2,5,5,2,2,3,3,2,3,3,3,3,3,3,4,4,2
43,1,BE,1,1,9,2,3,3,3,3,2,3,3,2,2,2,2,2,6,4,4,3
44,1,BE,1,2,9,2,2,2,3,3,3,1,2,3,3,4,4,4,3,1,2,1
45,1,BE,3,3,2,2,2,2,2,2,4,3,3,3,3,3,3,3,3,3,4,1
46,1,BE,3,2,1,3,3,3,2,3,3,2,3,3,3,3,2,3,6,3,4,1
50,1,BE,4,4,9,3,3,3,3,3,3,4,3,1,1,2,2,2,4,2,4,1
51,1,BE,4,3,1,3,2,2,2,3,4,2,2,3,4,3,2,2,4,1,3,3
52,1,BE,4,4,9,2,2,2,2,2,3,3,3,3,3,2,3,3,1,2,4,1
53,1,BE,2,2,1,2,2,3,2,2,3,3,2,2,3,3,3,3,4,1,4,1
54,1,BE,2,2,9,2,2,2,3,2,4,2,2,3,3,3,2,3,2,2,4,1
56,1,BE,4,4,9,3,4,4,3,3,2,3,4,2,2,2,2,2,6,1,4,3
57,1,BE,1,1,9,3,2,2,3,3,2,3,1,2,1,3,3,2,6,1,4,2
59,1,BE,4,3,2,3,4,4,4,4,3,4,3,2,1,2,2,2,1,1,4,1
60,1,BE,4,4,9,3,3,3,3,3,3,4,4,2,1,3,2,2,6,1,4,1
62,1,BE,4,3,2,3,2,2,3,2,4,3,3,3,2,3,3,4,5,1,3,2
63,1,BE,3,4,9,3,2,3,3,3,4,3,3,2,2,2,2,2,4,1,2,1
64,1,BE,4,4,9,3,3,3,3,3,4,4,3,2,3,3,3,3,6,2,2,1
65,1,BE,4,4,9,3,3,5,2,2,1,1,4,1,1,2,3,3,6,1,4,3
66,1,BE,1,1,9,3,3,4,4,4,3,4,2,2,2,2,2,3,2,2,4,3
67,1,BE,4,4,9,4,4,4,4,4,4,3,3,1,4,3,3,3,3,1,4,1
